"sample","n_dino_asvs_rarefied"
"ERR10234263",188
"ERR10234264",147
"ERR10234265",151
"ERR10234266",130
"ERR10234267",151
"ERR10234268",237
"ERR10234269",236
"ERR10234270",112
"ERR10234271",121
"ERR10234272",180
"ERR10234273",182
"ERR10234274",258
"ERR10234275",249
"ERR10234290",72
"ERR10234291",70
"ERR10234310",420
"ERR10234311",417
"ERR10234314",192
"ERR10234315",217
"ERR10234340",184
"ERR10234341",201
"ERR10234342",157
"ERR10234343",158
"ERR10234352",152
"ERR10234353",160
"ERR10234358",570
"ERR10234359",556
"ERR10234360",251
"ERR10234361",249
"ERR10234366",198
"ERR10234367",201
"ERR10234370",82
"ERR10234371",76
"ERR10234372",44
"ERR10234373",43
"ERR10234378",262
"ERR10234379",235
"ERR10234382",187
"ERR10234383",183
"ERR10234386",183
"ERR10234387",180
"ERR10234388",94
"ERR10234389",98
"ERR10234400",806
"ERR10234401",836
"ERR10234402",151
"ERR10234403",169
"ERR10234414",87
"ERR10234415",79
"ERR10234424",124
"ERR10234425",142
"ERR10234426",179
"ERR10234427",180
"ERR10234428",195
"ERR10234429",186
"ERR10234432",352
"ERR10234433",366
"ERR10234438",650
"ERR10234439",592
"ERR10234440",866
"ERR10234441",588
"ERR10234442",773
"ERR10234443",944
"ERR10234444",533
"ERR10234445",802
"ERR10234446",794
"ERR10234447",559
"ERR10234448",726
"ERR10234449",736
"ERR10234450",756
"ERR10234451",709
"ERR10234452",642
"ERR10234453",658
"ERR10234454",785
"ERR10234455",681
"ERR10234456",656
"ERR10234457",934
"ERR10234458",718
"ERR10234459",888
"ERR10234460",934
"ERR10234461",810
"ERR10234462",970
"ERR10234463",811
"ERR10234464",1025
"ERR10234465",766
"ERR10234466",627
"ERR10234467",724
"ERR10234468",642
"ERR10234469",857
"ERR10234470",842
"ERR10234471",189
"ERR10234472",681
"ERR10234473",491
"ERR10234474",600
"ERR10234475",920
"ERR10234476",661
"ERR10234477",552
"ERR10234478",683
"ERR10234479",737
"ERR10234480",680
"ERR10234481",519
"ERR10234482",770
"ERR10234483",624
"ERR10234484",272
"ERR10234485",892
"ERR10234486",1108
"ERR10234487",871
"ERR10234488",668
"ERR10234489",701
"ERR10234490",893
"ERR10234491",760
"ERR10234492",657
"ERR10234493",580
"ERR10234494",592
"ERR10234495",671
"ERR10234496",670
"ERR10234497",835
"ERR10234498",780
"ERR10234499",509
"ERR10234500",109
"ERR10234501",254
"ERR10234502",134
"ERR10234503",804
"ERR10234504",894
"ERR10234505",851
"ERR10234506",990
"ERR10234507",769
"ERR10234508",855
"ERR10234509",602
"ERR10234510",645
"ERR10234511",1095
"ERR10234512",808
"ERR10234513",536
"ERR10234514",549
"ERR10234515",767
"ERR10234516",546
"ERR10234517",690
"ERR10234518",623
"ERR10234519",568
"ERR10234520",623
"ERR10234521",745
"ERR10234522",665
"ERR10234523",696
"ERR10234524",697
"ERR10234525",597
"ERR10234526",663
"ERR10234527",580
"ERR10234528",542
"ERR10234529",714
"ERR10234530",977
"ERR10234531",641
"ERR10234532",590
"ERR10234533",271
"ERR10234534",883
"ERR10234535",926
"ERR10234536",598
"ERR10234537",564
"ERR10234538",667
"ERR10234539",753
"ERR10234540",624
"ERR10234541",864
"ERR10234542",775
"ERR10234543",878
"ERR10234544",620
"ERR4227198",593
"ERR10234545",665
"ERR10234546",704
"ERR10234547",498
"ERR4227196",508
"ERR10234548",698
"ERR10234549",741
"ERR10234550",265
"ERR10234551",607
"ERR4227195",705
"ERR10234552",841
"ERR10234553",858
"ERR10234554",756
"ERR10234555",893
"ERR10234556",196
"ERR10234557",510
"ERR10234558",767
"ERR4227200",794
"ERR10234559",956
"ERR4227210",673
"ERR10234560",901
"ERR4227211",528
"ERR10234561",939
"ERR10234562",737
"ERR4227213",655
"ERR10234563",963
"ERR10234564",452
"ERR4227212",691
"ERR10234565",664
"ERR10234566",810
"ERR4227197",690
"ERR4227199",571
"ERR4227201",261
"ERR4227202",368
"ERR4227204",456
"ERR10234567",577
"ERR10234568",546
"ERR10234569",719
"ERR4227203",554
"ERR4227205",468
"ERR10234570",704
"ERR10234571",665
"ERR4227222",697
"ERR10234572",748
"ERR10234573",1059
"ERR4227225",836
"ERR4227206",434
"ERR10234574",560
"ERR10234575",377
"ERR10234576",98
"ERR10234577",539
"ERR10234578",120
"ERR10234579",221
"ERR10234580",668
"ERR4227208",775
"ERR4227221",854
"ERR10234581",917
"ERR10234582",853
"ERR10234583",991
"ERR4227223",812
"ERR10234584",1019
"ERR4227226",777
"ERR10234585",664
"ERR10234586",678
"ERR10234587",483
